CardID,class,name,cost,attack,health,rarity,type,expansion,description,effects,tribe,additional
cards-gangzi-001,Gangzi,강지의 팬 강도단,1,1,2,common,하수인,기본, ,,강도단,
cards-gangzi-002,Gangzi,보따리 사수꾼,2,2,3,common,하수인,기본,도발,,강도단,
cards-gangzi-003,Gangzi,날카로운 발톱의 강도단,2,3,2,common,하수인,기본,속공,,강도단,
cards-gangzi-004,Gangzi,보급담당,2,2,2,common,하수인,기본,등장: 카드를 1장 뽑습니다.,DRAW:1:0:SELF,강도단,
cards-gangzi-005,Gangzi,듬직한 강도단,3,4,4,common,하수인,기본,,,강도단,
cards-gangzi-006,Gangzi,훔친 보물,2,0,4,common,하수인,기본,유언: 카드를 1장 뽑습니다.,ON_DEATH|DRAW:1:0:SELF,강도단,
cards-gangzi-007,Gangzi,구운 감자,2,,,common,주문,기본,아군 캐릭터의 체력을 3 회복합니다.,HEAL:1:0:TARGET_FRIENDLY_CHARACTER,,
cards-gangzi-008,Gangzi,동전 투척꾼,2,2,5,common,하수인,기본,등장: 캐릭터 하나를 선택해 3의 피해를 줍니다.,ON_PLAY|DAMAGE:3:0:TARGET,강도단,
cards-gangzi-009,Gangzi,강도단의 선물,2,,,common,주문,기본,아군 하수인에게 +2/+2을 부여합니다.,ON_PLAY|BUFF:2:2:TARGET_FRIENDLY_MINION,,
cards-gangzi-010,Gangzi,멤버 모집,3,,,rare,주문,기본,덱에서 '멤버' 카드 1장을 무작위로 가져옵니다.,ON_PLAY|DRAW_SPECIFIC:1:0:SELF:TRIBE:멤버,,
cards-gangzi-011,Gangzi,강도단 집합,5,,,rare,주문,기본,덱에서 비용이 2 이하인 '강도단'을 3명 소환합니다.,ON_PLAY|SUMMON_FROM_DECK:0:0:SELF:TRIBE:강도단:COST_LESS:2:3,,
cards-gangzi-012,Gangzi,방송 도둑,5,3,4,rare,하수인,기본,등장: 상대 패의 카드 한 장을 무작위로 복사하여 얻습니다.,COPY_CARD:1:0:ENEMY_HAND,강도단,
cards-gangzi-013,Gangzi,방송 유입,5,3,3,rare,하수인,기본,등장: 이번 게임에서 죽은 무작위 '강도단' 하나를 부활시킵니다.,RESURRECT:1:0:MY_GRAVEYARD:TRIBE:강도단,강도단,
cards-gangzi-014,Gangzi,강도단의 일격,4,,,common,주문,기본,적 하수인 하나를 처치합니다.,ON_PLAY|DESTROY:1:0:TARGET_ENEMY_MINION,,
cards-gangzi-015,Gangzi,분탕 강도단,6,4,3,rare,하수인,기본,등장: 적 영웅에게 5의 피해를 줍니다.,DAMAGE:5:0:ENEMY_HERO,강도단,
cards-gangzi-016,Gangzi,안산 불빳따,5,,,rare,주문,기본,적 캐릭터 하나에게 피해를 10 줍니다.,DAMAGE:10:0:TARGET_ENEMY_MINION,,
cards-gangzi-017,Gangzi,불주먹 강도단,6,7,7,common,하수인,기본,-,,강도단,
cards-gangzi-018,Gangzi,강형,8,10,10,epic,하수인,기본,-,,강도단,
cards-gangzi-019,Gangzi,안산치카라 포테땅,8,5,5,epic,하수인,기본,등장: 필드가 가득 찰 때까지 무작위 '강도단'을 소환합니다.,SUMMON_RANDOM:0:0:SELF:TRIBE:강도단:7,강도단,
cards-gangzi-020,Gangzi,사쵸,10,15,15,legendary,하수인,기본,-,,강도단,
