CardID,calss,name,cost,attack,health,rarity,type,expansion,description,effects,tribe,additional
cards-yuni-001,Yuni,유니의 팬 아르냥,1,3,1,common,하수인,기본,,,아르냥,
cards-yuni-002,Yuni,아르빠노,1,,,common,주문,기본,피해를 2 줍니다.,DAMAGE:2:0:TARGET,,
cards-yuni-003,Yuni,저돌적인 아르냥,2,4,1,common,하수인,기본,속공,,아르냥,
cards-yuni-004,Yuni,아르냥의 뿔,2,,,rare,주문,기본,내 손에 있는 모든 하수인에게 공격력을 1 부여합니다.,BUFF:1:0:MY_HAND,,
cards-yuni-005,Yuni,전투대장 아르냥,3,3,3,rare,하수인,기본,내 다른 하수인들이 +1의 공격력을 얻습니다.,PASSIVE|BUFF:1:0:ALL_FRIENDLY_MINIONS,아르냥,
cards-yuni-006,Yuni,뭘뽀노?,3,,,common,주문,기본,모든 적 하수인에게 2의 피해를 줍니다. 내 영웅에게 3의 피해를 줍니다.,DAMAGE:2:0:ALL_ENEMY_MINIONS & DAMAGE:3:0:FRIENDLY_HERO,,
cards-yuni-007,Yuni,상처입은 아르냥,4,4,4,common,하수인,기본,피해를 받으면 무작위 적에게 2의 피해를 입힙니다.,ON_DAMAGE|DAMAGE:2:0:RANDOM_ENEMY,아르냥,
cards-yuni-008,Yuni,대두니,4,,,rare,주문,기본,모든 하수인에게 +2 / -2를 부여합니다.,BUFF:2:-2:ALL_MINIONS,,
cards-yuni-009,Yuni,하늘날개 냥이,5,3,3,epic,하수인,기본,내 필드의 다른 하수인 하나당 비용이 1 감소합니다.,PASSIVE|COST_MOD:-1:0:ALL_FRIENDLY_MINIONS,아르냥,
cards-yuni-010,Yuni,귀여우니깐 욘서,5,,,epic,주문,기본,선택한 하수인은 내 다음턴까지 죽지않습니다.,PREVENT_DAMAGE:99:0:TARGET_MINION,,
cards-yuni-011,Yuni,유입냥,6,3,3,common,하수인,기본,덱에서 비용이 3이하인 무작위 하수인을 둘 소환합니다.,SUMMON_FROM_DECK:0:0:SELF:COST_LESS:3:2,아르냥,
cards-yuni-012,Yuni,선배야 선배!,6,,,rare,주문,기본,모든 적 하수인에게 -2 / 0 을 부여합니다.,BUFF:-2:0:ALL_ENEMY_MINIONS,,
cards-yuni-013,Yuni,모리큰 교수,7,5,5,rare,하수인,기본,"무작위적 하수인 하나를 처치합니다,",DESTROY:0:0:RANDOM_ENEMY_MINION,아르냥,
cards-yuni-014,Yuni,니얼구르,7,,,common,주문,기본,모든 적 하수인에게 피해를 3 줍니다.,DAMAGE:3:0:ALL_ENEMY_MINIONS,,
cards-yuni-015,Yuni,미친개 조련사,8,2,2,common,하수인,기본,무작위 적을 공격하는 8/8 하수인을 소환합니다.,SUMMON_TOKEN:0:0:SELF:CARD_ID:cards-yuni-1001,아르냥,
cards-yuni-016,Yuni,밴 웨이브,8,,,common,주문,기본,모든 하수인을 처치합니다.,DESTROY:0:0:ALL_MINIONS,,
cards-yuni-017,Yuni,아르냥 2인조,9,8,8,common,하수인,기본,퇴장: 8/8 아르냥 하수인을 소환합니다,ON_DEATH|SUMMON_TOKEN:0:0:SELF:CARD_ID:cards-yuni-1002,아르냥,
cards-yuni-018,Yuni,정예병 소환,9,,,common,주문,기본,"속공 6/3, 도발 3/6 아르냥 하수인을 소환합니다.",SUMMON_TOKEN:0:0:SELF:CARD_ID:cards-yuni-1003 & SUMMON_TOKEN:0:0:SELF:CARD_ID:cards-yuni-1004,,
cards-yuni-019,Yuni,1기생 아야츠노 유니,10,,5,rare,멤버,기본,"T1: 피해를 3 줍니다 텐션을 1 얻습니다.,  T2: 하수인을 처치합니다 텐션을 3 소모합니다., T3: 피해를 10 줍니다 텐션을 5 소모합니다.",,멤버,
cards-yuni-020,Yuni,아르냥 집합,10,,,epic,주문,기본,이번 게임에서 죽었던 아르냥들을 부활시킵니다.,RESURRECT:0:0:SELF:MY_GRAVEYARD:7,,
cards-yuni-1001,Yuni,사나운 아르냥,8,8,8,common,하수인,기본,소환될때 무작위 적을 공격합니다., ON_SUMMON|ATTACK_TARGET:0:0:RANDOM_ENEMY,아르냥,
cards-yuni-1002,Yuni,아르냥 1인자,8,8,8,common,하수인,기본,,ON_SUMMON|ATTACK_TARGET:0:0:RANDOM_ENEMY_MINION,아르냥,
cards-yuni-1003,Yuni,공격병,4,6,3,common,하수인,기본,속공,,아르냥,
cards-yuni-1004,Yuni,수호병,4,3,6,common,하수인,기본,도발,,,
